id,location,date,total_cases,new_cases,total_deaths,new_deaths
585,Taiwan,2/7/2020,16,0,,
586,Thailand,2/7/2020,25,0,,
587,United Arab Emirates,2/7/2020,5,0,,
588,United Kingdom,2/7/2020,9,0,,
589,United States,2/7/2020,12,0,,
590,Vietnam,2/7/2020,10,0,,
591,World,2/7/2020,34396,3593,719,85
592,Argentina,2/8/2020,,,,
593,Asia,2/8/2020,36989,2725,806,87
594,Australia,2/8/2020,15,0,,
595,Belgium,2/8/2020,1,0,,
596,Cambodia,2/8/2020,1,0,,
597,Canada,2/8/2020,7,0,,
598,China,2/8/2020,36814,2704,805,87
599,Denmark,2/8/2020,,,,
600,Estonia,2/8/2020,,,,
601,Europe,2/8/2020,46,9,,0
602,European Union,2/8/2020,31,5,,0
603,Fiji,2/8/2020,,,,
604,Finland,2/8/2020,1,0,,
605,France,2/8/2020,11,5,,
606,Germany,2/8/2020,13,0,,
607,Hong Kong,2/8/2020,,,,
608,India,2/8/2020,3,0,,
609,International,2/8/2020,61,0,,
610,Italy,2/8/2020,3,0,,
611,Japan,2/8/2020,24,1,,
612,Malaysia,2/8/2020,16,4,,
613,Malta,2/8/2020,,,,
614,Mexico,2/8/2020,,,,
615,Morocco,2/8/2020,,,,
616,Nepal,2/8/2020,1,0,,
617,North America,2/8/2020,19,0,,0
618,Oceania,2/8/2020,15,0,,0
619,Peru,2/8/2020,,,,
620,Philippines,2/8/2020,3,0,1,0
621,Russia,2/8/2020,2,0,,
622,Singapore,2/8/2020,33,3,,
623,Slovenia,2/8/2020,,,,
624,South Africa,2/8/2020,,,,
625,South Korea,2/8/2020,24,0,,
626,Spain,2/8/2020,1,0,,
627,Sri Lanka,2/8/2020,1,0,,
628,Sweden,2/8/2020,1,0,,
629,Taiwan,2/8/2020,17,1,,
630,Thailand,2/8/2020,32,7,,
631,United Arab Emirates,2/8/2020,7,2,,
632,United Kingdom,2/8/2020,13,4,,
633,United States,2/8/2020,12,0,,
634,Vietnam,2/8/2020,13,3,,
635,World,2/8/2020,37130,2734,806,87
636,Argentina,2/9/2020,,,,
637,Asia,2/9/2020,40013,3024,906,100
638,Australia,2/9/2020,15,0,,
639,Belgium,2/9/2020,1,0,,
640,Cambodia,2/9/2020,1,0,,
641,Canada,2/9/2020,7,0,,
642,China,2/9/2020,39829,3015,905,100
643,Denmark,2/9/2020,,,,
644,Estonia,2/9/2020,,,,
645,Europe,2/9/2020,49,3,,0
646,European Union,2/9/2020,33,2,,0
647,Fiji,2/9/2020,,,,
648,Finland,2/9/2020,1,0,,
649,France,2/9/2020,11,0,,
650,Germany,2/9/2020,14,1,,
651,Hong Kong,2/9/2020,,,,
652,India,2/9/2020,3,0,,
653,International,2/9/2020,64,3,,
654,Ireland,2/9/2020,,,,
655,Italy,2/9/2020,3,0,,
656,Japan,2/9/2020,24,0,,
657,Latvia,2/9/2020,,,,
658,Malaysia,2/9/2020,16,0,,
659,Malta,2/9/2020,,,,
660,Mexico,2/9/2020,,,,
661,Morocco,2/9/2020,,,,
662,Nepal,2/9/2020,1,0,,
663,North America,2/9/2020,19,0,,0
664,Oceania,2/9/2020,15,0,,0
665,Peru,2/9/2020,,,,
666,Philippines,2/9/2020,3,0,1,0
667,Portugal,2/9/2020,,,,
668,Russia,2/9/2020,2,0,,
669,Singapore,2/9/2020,40,7,,
670,Slovenia,2/9/2020,,,,
671,South Africa,2/9/2020,,,,
672,South Korea,2/9/2020,25,1,,
673,Spain,2/9/2020,2,1,,
674,Sri Lanka,2/9/2020,1,0,,
675,Sweden,2/9/2020,1,0,,
676,Taiwan,2/9/2020,18,1,,
677,Thailand,2/9/2020,32,0,,
678,United Arab Emirates,2/9/2020,7,0,,
679,United Kingdom,2/9/2020,14,1,,
680,United States,2/9/2020,12,0,,
681,Vietnam,2/9/2020,13,0,,
682,World,2/9/2020,40160,3030,906,100
683,Argentina,2/10/2020,,,,
684,Asia,2/10/2020,42551,2538,1013,107
685,Australia,2/10/2020,15,0,,
686,Belgium,2/10/2020,1,0,,
687,Cambodia,2/10/2020,1,0,,
688,Canada,2/10/2020,7,0,,
689,China,2/10/2020,42354,2525,1012,107
690,Denmark,2/10/2020,,,,
691,Estonia,2/10/2020,,,,
692,Europe,2/10/2020,49,0,,0
693,European Union,2/10/2020,33,0,,0
694,Fiji,2/10/2020,,,,
695,Finland,2/10/2020,1,0,,
696,France,2/10/2020,11,0,,
697,Germany,2/10/2020,14,0,,
698,Hong Kong,2/10/2020,,,,
699,India,2/10/2020,3,0,,
700,International,2/10/2020,135,71,,
701,Italy,2/10/2020,3,0,,
702,Japan,2/10/2020,26,2,,
703,Malaysia,2/10/2020,18,2,,
704,Malta,2/10/2020,,,,
705,Mexico,2/10/2020,,,,
706,Morocco,2/10/2020,,,,
707,Nepal,2/10/2020,1,0,,
708,North America,2/10/2020,19,0,,0
709,Oceania,2/10/2020,15,0,,0
710,Peru,2/10/2020,,,,
711,Philippines,2/10/2020,3,0,1,0
712,Russia,2/10/2020,2,0,,
713,Singapore,2/10/2020,45,5,,
714,Slovenia,2/10/2020,,,,
715,South Africa,2/10/2020,,,,
